sample_label,method,outcome,treatment,coef,std_err,p_value,ci_low,ci_high,N,K
All,PLR,SomeRiskHome,Any treatment vs nothing,-0.08414678597437028,0.004490825158375161,2.449168761982146e-78,-0.09294864154565198,-0.07534493040308858,59620,46
All,IRM,SomeRiskHome,Any treatment vs nothing,-0.07759993936467614,0.00361389351237263,2.8044066728879417e-102,-0.08468304049288947,-0.07051683823646282,59620,46
All,PLR,VeryHighRiskHome,Any treatment vs nothing,-0.048551972657192466,0.00481049670644019,5.9374678348161354e-24,-0.057980372949563784,-0.03912357236482115,59620,46
All,IRM,VeryHighRiskHome,Any treatment vs nothing,-0.05239953338681181,0.004187026574093858,6.201349500750288e-36,-0.0606059546743479,-0.04419311209927572,59620,46
All,PLR,SomeRiskHome,Boiling,-0.12997243680670573,0.007166756375976361,1.6728777117541434e-73,-0.1440190211895922,-0.11592585242381925,52957,46
All,IRM,SomeRiskHome,Boiling,-0.13130406638861963,0.00517230992386869,3.603842571740747e-142,-0.14144160755628138,-0.1211665252209579,52957,46
All,PLR,VeryHighRiskHome,Boiling,-0.04246685108345917,0.0066348314944707255,1.547753961340318e-10,-0.05547088185611385,-0.029462820310804487,52957,46
All,IRM,VeryHighRiskHome,Boiling,-0.0645406453195207,0.005709771043102764,1.2602792380409015e-29,-0.07573159092397182,-0.05334969971506957,52957,46
All,PLR,SomeRiskHome,Chlorine/Aquatabs/PUR,-0.060465773953535855,0.009927362861626416,1.123342460876876e-9,-0.07993887207605714,-0.0410085001160157,48247,46
All,IRM,SomeRiskHome,Chlorine/Aquatabs/PUR,-0.04507195193473707,0.009739804223411907,3.699214070132525e-6,-0.06416161742909551,-0.025982286440378623,48247,46
All,PLR,VeryHighRiskHome,Chlorine/Aquatabs/PUR,-0.04955829916297454,0.012058384134301808,3.9589500864758085e-5,-0.07319229777795527,-0.025924300547993797,48247,46
All,IRM,VeryHighRiskHome,Chlorine/Aquatabs/PUR,-0.061725163068537925,0.009841824722584205,3.570826712928444e-10,-0.08101478506695887,-0.042435541070116975,48247,46
All,PLR,SomeRiskHome,Strain/Settle,-0.029216367052814916,0.007277591731589235,5.9555460577557025e-5,-0.043480184740916306,-0.014952549364713526,50002,46
All,IRM,SomeRiskHome,Strain/Settle,-0.013101280960618038,0.0075900335033244415,0.084326482164497,-0.027977473268586316,0.0017749113473502394,50002,46
