outcome,treatment,learner,subgroup_var,subgroup_val,confounder_set,dataset_type,coef,se,ci_lower,ci_upper,n,n_treated,n_untreated,n_clusters,cluster_var,rv_q,rv_qa
SomeRiskHome,water_treatment,ols,,,base,HH,-0.05557674519054807,0.01160621229010831,-0.07862215369974963,-0.03282896887584773,11924,2527,9397,9208,Cluster_var,0.03678077839557408,0.024131037225542305
SomeRiskHome,water_treatment,stacked,,,base,HH,-0.05557244218966498,0.010617676294596957,-0.0763827053265797,-0.03476217905275025,11924,2527,9397,9208,Cluster_var,0.03813543044774641,0.026298432769330124
VeryHighRiskHome,water_treatment,ols,,,base,HH,-0.017824175357907306,0.013298778001350972,-0.04388930127894877,0.008240950563134161,11924,2527,9397,9208,Cluster_var,0.010923236307145342,4.160384409220138e-06
VeryHighRiskHome,water_treatment,stacked,,,base,HH,-0.02460841328968014,0.01193141920244685,-0.04779346123308415,-0.0012232613684346992,11924,2527,9397,9208,Cluster_var,0.015474947809286408,0.0031523051077887846
diarrhea,water_treatment,ols,,,base,U5,-0.04558992721477054,0.011220609034849394,-0.06758191680768008,-0.02359793762186099,7224,1433,5791,5459,Cluster_var,0.03303920328743889,0.019792062529039485
diarrhea,water_treatment,stacked,,,base,U5,-0.03604672292635377,0.011053937646482798,-0.0577120426008115,-0.014381403251896036,7224,1433,5791,5459,Cluster_var,0.02708266764996654,0.013469891274591098
SomeRiskHome,treat_boil,ols,,,base,HH,-0.13157253003394817,0.01803905685621448,-0.16836843119449846,-0.09621662828069746,11924,1194,10730,9208,Cluster_var,0.046879133239507306,0.03548480012263179
SomeRiskHome,treat_boil,stacked,,,base,HH,-0.16782187900232937,0.01333940387418378,-0.19396663017096366,-0.14167712783369507,11924,1194,10730,9208,Cluster_var,0.07593012137551296,0.06630040343487985
SomeRiskHome,treat_chlorine,ols,,,base,HH,0.0019066314282797636,0.028804421381893524,-0.054548997075746994,0.05836225993230652,11924,247,11677,9208,Cluster_var,0.0007073001764302691,5.166481525141642e-06
SomeRiskHome,treat_chlorine,stacked,,,base,HH,0.0019918520923395714,0.021516886984887247,-0.04018047145745807,0.044164175642137204,11924,247,11677,9208,Cluster_var,0.0007896746112802247,6.0005896751321826e-06
VeryHighRiskHome,treat_boil,ols,,,base,HH,-0.13014154653535026,0.015467431579159198,-0.16119093535088858,-0.09982593770686074,11924,1194,10730,9208,Cluster_var,0.04154776987610704,0.033329076353432005
VeryHighRiskHome,treat_boil,stacked,,,base,HH,-0.1182852474904461,0.01183247940909363,-0.14099435846205913,-0.0950940140008108,11924,1194,10730,9208,Cluster_var,0.04939157478082472,0.041372882047130397
VeryHighRiskHome,treat_chlorine,ols,,,base,HH,-0.03359447651443249,0.03093272202324333,-0.0918855509802482,0.02703251833768138,11924,247,11677,9208,Cluster_var,0.011383619235736681,5.864930849164479e-06
VeryHighRiskHome,treat_chlorine,stacked,,,base,HH,0.019684055017441138,0.02370938358813526,-0.02678548291094901,0.06615359294583129,11924,247,11677,9208,Cluster_var,0.007051946470846532,4.4826603461670106e-06
