outcome,treatment,learner,subgroup_var,subgroup_val,confounder_set,dataset_type,coef,se,ci_lower,ci_upper,n,n_treated,n_untreated,n_clusters,cluster_var,rv_q,rv_qa
SomeRiskHome,water_treatment,ols,,,base,HH,-0.052926245728594834,0.0041913638164719725,-0.061080048021178286,-0.04471132415801843,59620,12669,46951,18655,Cluster_var,,
SomeRiskHome,water_treatment,lasso,,,base,HH,-0.0586112315728687,0.004323190280647195,-0.06708452882125081,-0.050137934324486585,59620,12669,46951,18655,Cluster_var,,
SomeRiskHome,water_treatment,ridge,,,base,HH,-0.05257903305363884,0.004158582880372196,-0.06072970572589319,-0.044428360381384494,59620,12669,46951,18655,Cluster_var,,
SomeRiskHome,water_treatment,enet,,,base,HH,-0.05746287157365093,0.004214534086753306,-0.06576637566218023,-0.04920253655199804,59620,12669,46951,18655,Cluster_var,,
SomeRiskHome,water_treatment,rf,,,base,HH,-0.059472853620384854,0.005536944165899008,-0.07032506476995608,-0.04862064247081362,59620,12669,46951,18655,Cluster_var,,
SomeRiskHome,water_treatment,xgb,,,base,HH,-0.06030445242040045,0.006445689507554884,-0.07314258808835533,-0.04767113162221915,59620,12669,46951,18655,Cluster_var,,
SomeRiskHome,water_treatment,stacked,,,base,HH,-0.06262277391549795,0.00569178183277057,-0.07377846131558766,-0.051467086515408246,59620,12669,46951,18655,Cluster_var,,
VeryHighRiskHome,water_treatment,ols,,,base,HH,-0.0375088347137655,0.004501933440361969,-0.04622558775733765,-0.028685208603451414,59620,12669,46951,18655,Cluster_var,,
VeryHighRiskHome,water_treatment,lasso,,,base,HH,-0.043079911592552526,0.004201082740207156,-0.051313882459431394,-0.03484594072567366,59620,12669,46951,18655,Cluster_var,,
VeryHighRiskHome,water_treatment,ridge,,,base,HH,-0.03776434380702623,0.0044285301383677495,-0.04647474680543541,-0.02908458423137526,59620,12669,46951,18655,Cluster_var,,
VeryHighRiskHome,water_treatment,enet,,,base,HH,-0.041836322020340426,0.004500375410588377,-0.050656895742003306,-0.033015748298677546,59620,12669,46951,18655,Cluster_var,,
VeryHighRiskHome,water_treatment,rf,,,base,HH,-0.046783228280983497,0.0062280157037243235,-0.058989914755433054,-0.03457654180653394,59620,12669,46951,18655,Cluster_var,,
VeryHighRiskHome,water_treatment,xgb,,,base,HH,-0.047792620708348596,0.00778400984853497,-0.06304899966678222,-0.03253624174991497,59620,12669,46951,18655,Cluster_var,,
VeryHighRiskHome,water_treatment,stacked,,,base,HH,-0.06272494024123865,0.00529295567574531,-0.07309894273746631,-0.05235093774501098,59620,12669,46951,18655,Cluster_var,,
diarrhea,water_treatment,ols,,,base,U5,-0.005254704310894129,0.006606789916488931,-0.017184250824154312,0.007694362885216596,36121,7024,29097,13596,Cluster_var,,
diarrhea,water_treatment,lasso,,,base,U5,-0.0016872315137699935,0.009730429417217936,-0.020758522725626213,0.017384059698086228,36121,7024,29097,13596,Cluster_var,,
diarrhea,water_treatment,ridge,,,base,U5,-0.003704592803602346,0.006491825989587133,-0.016428337937094223,0.009019152329889531,36121,7024,29097,13596,Cluster_var,,
diarrhea,water_treatment,enet,,,base,U5,-0.006593423976443224,0.006313839807172077,-0.018968322602655817,0.005781474649769367,36121,7024,29097,13596,Cluster_var,,
diarrhea,water_treatment,rf,,,base,U5,0.0029164830305128575,0.007895445818074324,-0.012558306414800203,0.018391272475825917,36121,7024,29097,13596,Cluster_var,,
diarrhea,water_treatment,xgb,,,base,U5,0.003360871958112357,0.008802340159463523,-0.013891397734106704,0.02061314165033142,36121,7024,29097,13596,Cluster_var,,
diarrhea,water_treatment,stacked,,,base,U5,-0.004498638184746313,0.006151358450499878,-0.016555079203722185,0.007557802834229561,36121,7024,29097,13596,Cluster_var,,
SomeRiskHome,treat_boil,ols,,,base,HH,-0.05645582796263438,0.005639760331138092,-0.06750955509310273,-0.04540210083216603,59620,6006,53614,18655,Cluster_var,,
SomeRiskHome,treat_boil,lasso,,,base,HH,-0.0663362136962275,0.0069751910440027315,-0.08000733692775919,-0.05266509046469581,59620,6006,53614,18655,Cluster_var,,
SomeRiskHome,treat_boil,ridge,,,base,HH,-0.05737168255983669,0.005822049593197398,-0.06878269007870966,-0.04596067504096372,59620,6006,53614,18655,Cluster_var,,
SomeRiskHome,treat_boil,enet,,,base,HH,-0.0660892566765545,0.005646322509981978,-0.07715584544121698,-0.05502266791189203,59620,6006,53614,18655,Cluster_var,,
SomeRiskHome,treat_boil,rf,,,base,HH,-0.09578846436870733,0.007798195613414486,-0.11107264691539795,-0.08050428182201672,59620,6006,53614,18655,Cluster_var,,
SomeRiskHome,treat_boil,xgb,,,base,HH,-0.054583850368619014,0.009376101770360901,-0.07296067215390861,-0.03620702858332941,59620,6006,53614,18655,Cluster_var,,
SomeRiskHome,treat_boil,stacked,,,base,HH,-0.08727060526025132,0.0063744017035919235,-0.09976420302228226,-0.07477700749822039,59620,6006,53614,18655,Cluster_var,,
SomeRiskHome,treat_chlorine,ols,,,base,HH,0.01560570755597222,0.010693695690472406,-0.006056832935677173,0.03656496597092933,59620,1296,58324,18655,Cluster_var,,
SomeRiskHome,treat_chlorine,lasso,,,base,HH,0.011042711103394658,0.01260249430650311,-0.013657723852722521,0.035743146059511836,59620,1296,58324,18655,Cluster_var,,
